MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Thành Phố Tội Ác,2005,124 min,"Crime, Thriller",8,100,790107,790107
Lưỡi Cưa,2004,103 min,"Horror, Mystery, Thriller",7.6,100,461689,461689
Bàn Chân Trái Của Tôi,1989,103 min,"Biography, Drama",7.8,100,78974,78974
Bowling for Columbine,2002,120 min,"Documentary, Crime, Drama",8,100,148179,148179
Người Đỡ Đạn,2004,146 min,"Action, Crime, Drama",7.7,100,385830,385830
Gần Như Nổi Tiếng,2000,122 min,"Adventure, Comedy, Drama",7.9,100,290983,290983
Từ Khi Gặp Em,2000,113 min,"Comedy, Drama, Music",7.4,100,188470,188470
Hành Trình Django,2012,165 min,"Drama, Western",8.5,100,1670443,1670443
12 Người Đàn Ông Giận Dữ,1957,96 min,"Crime, Drama",9,100,852017,852017
Kẻ Mất Trí Nhớ,2000,113 min,"Mystery, Thriller",8.4,100,1308346,1308346
Người Đàn Ông Trong Mưa,1988,133 min,Drama,8,100,541247,541247
Bản Báo Cáo Thiểu Số,2002,145 min,"Action, Crime, Mystery",7.6,100,579316,579316
Ngón Tay Vàng,1964,110 min,"Action, Adventure, Thriller",7.7,100,200888,200888
Mạng Xã Hội,2010,120 min,"Biography, Drama",7.8,100,750442,750442
Kẻ Sát Nhân Cuồng Tín,2000,102 min,"Crime, Drama, Horror",7.6,100,700880,700880
Đặc Vụ Áo Đen,1997,98 min,"Action, Adventure, Comedy",7.3,100,605822,605822
Không Chốn Dung Thân,2007,122 min,"Crime, Drama, Thriller",8.2,100,1044642,1044642
Chuyến Bay Tình Yêu,1980,88 min,Comedy,7.7,100,257670,257670
Máu Sẽ Phải Đổ,2007,158 min,Drama,8.2,100,633788,633788
Kẻ Đánh Cắp Giấc Mơ,2010,148 min,"Action, Adventure, Sci-Fi",8.8,100,2516004,2516004
