MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Câu Chuyện Đồ Chơi 3,2010,103 min,"Animation, Adventure, Comedy",8.3,100,883898,883898
Cuộc Chia Ly,2011,123 min,Drama,8.3,100,256297,256297
Cuộc Sống Tươi Đẹp,1946,130 min,"Drama, Family, Fantasy",8.6,100,494612,494612
On the Waterfront,1954,108 min,"Crime, Drama, Thriller",8.1,100,163111,163111
Chim Ưng Malta,1941,100 min,"Crime, Film-Noir, Mystery",8,100,165469,165469
Con Báo,1963,186 min,"Drama, History",7.9,100,28457,28457
Roma città aperta,1945,103 min,"Drama, Thriller, War",8,100,28594,28594
Century of Cinema,1995–1998,225 min,"Documentary, Biography, History",8.5,100,5111,5111
Phong Ấn Thứ Bảy,1957,96 min,"Drama, Fantasy",8.1,100,196347,196347
The Wind,1928,95 min,"Drama, Romance, Thriller",8,100,7053,7053
Yôjinbô,1961,110 min,"Action, Drama, Thriller",8.2,100,129951,129951
Cuộc Săn Vàng,1925,95 min,"Adventure, Comedy, Drama",8.1,100,117528,117528
Le chagrin et la pitié,1969,251 min,"Documentary, History, War",8.2,100,4060,4060
Marketa Lazarová,1967,162 min,"Drama, History, Romance",7.9,100,5930,5930
Lời Từ Biệt,I 2019,100 min,"Comedy, Drama",7.5,100,70047,70047
Nhà Độc Tài Vĩ Đại,1940,125 min,"Comedy, Drama, War",8.4,100,235312,235312
The Life and Death of Colonel Blimp,1943,163 min,"Drama, Romance, War",8,100,16141,16141
Chiến Tranh và Hòa Bình,1965,393 min,"Drama, Romance, War",8.3,100,8190,8190
Chuyện ở Philadelphia,1940,112 min,"Comedy, Romance",7.9,100,73212,73212
Sunrise: A Song of Two Humans,1927,94 min,"Drama, Romance",8.1,100,53420,53420
Chelovek s kino-apparatom,1929,68 min,Documentary,8.3,100,27619,27619
Indiana Jones Và Chiếc Rương Thánh Tích,1981,115 min,"Action, Adventure",8.4,100,1028358,1028358
Orphée,1950,112 min,"Drama, Fantasy, Romance",7.9,100,13274,13274
Heimat - Eine Chronik in elf Teilen,1984,924 min,"Drama, History, War",8.6,100,3307,3307
"Aguirre, der Zorn Gottes",1972,95 min,"Action, Adventure, Biography",7.8,91,61536,61536
They Shall Not Grow Old,II 2018,99 min,"Documentary, History, War",8.2,91,38101,38101
